Warehouse Name;Reference;Denomination;Equipe Guillaume et Alexis;Equipe Thibaut et Marc;Equipe Aurelien;Equipe Maxime;Equipe Dimitri et Camille;Equipe Coline et Pierre;Admin
CHAMBRE FROIDE;36GRL;Plancha grill LACANCHE 36GRL;0;0;0;0;0;0;0
CHAMBRE FROIDE;36GSL;Plancha grill lisse LACANCHE36GSL;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LCB150;Chapeau de brûleur LACANCHE 36LCB150;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LCB300;Chapeau de brûleur LACANCHE 36LCB300;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LCB400;Chapeau de brûleur LACANCHE 36LCB400;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LCB500;Chapeau de brûleur LACANCHE36LCB500;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LCPCF;Couvercle planque coup de feu LACANCHE 36LCPCF;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LGR;Réducteur de grille  LACANCHE 36LGR;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LGRC;Réducteur de grille centrale LACANCHE 36LGRC;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LGT530;Grille télescopique pour four 700 LACANCHE 36LGT530;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LPB;Planche à découper en bois LACANCHE 36LPB;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LPP2;Panier perforé LACANCHE 36LPP2;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LPP4;Panier perforé LACANCHE 36LPP4;0;0;0;0;0;0;0
CHAMBRE FROIDE;36LWK;Support Wok LACANCHE 36LWK;0;0;0;0;0;0;0
CHAMBRE FROIDE;36PLF325;Plat leche frite classique LACANCHE 36PLF325;0;0;0;0;0;0;0
CHAMBRE FROIDE;36PML;Plaque de mijotage LACANCHE 36PML;0;0;0;0;0;0;0
CHAMBRE FROIDE;36TP490;Tole à patisserie LACANCHE 36TP490;0;0;0;0;0;0;0
CHAMBRE FROIDE;39LCRD1500;Crédence LACANCHE 1500 (72 cm de hauteur) + support ustensiles 39LCRD1500;0;0;0;0;0;0;0
CHAMBRE FROIDE;400520EE;MIXSTAR;0;0;0;0;0;0;0
CHAMBRE FROIDE;43C725;"TV Smart LCD 43"" TCL 43C725";0;0;0;0;0;0;0
CHAMBRE FROIDE;460016EER;SLOW COOKER SEER/STEW 3.5L ROSEGOLD;0;0;0;0;0;0;0
CHAMBRE FROIDE;460017EER;SLOW COOKER 3.5L CERAMIC BRUSHED;0;0;0;0;0;0;0
CHAMBRE FROIDE;460018EER;SLOW COOKER 3.5LSEAR&STEW BRUSH/GREY;0;0;0;0;0;0;0
CHAMBRE FROIDE;460020EER;SLOW COOKER SEAR/STEW ALU/SCHAR 3.5L;0;0;0;0;0;0;0
CHAMBRE FROIDE;461013EER;SLOW COOKER 6.5L CERAMIC BRUSHED;0;0;0;0;0;0;0
CHAMBRE FROIDE;461014EER;SLOW COOKER 6.5LSEAR&STEW BRUSH/GREY;0;0;0;0;0;0;0
CHAMBRE FROIDE;461016EER;SLOW COOKER SEAR/STEW MIT ALU 3.5L;0;0;0;0;0;0;0
CHAMBRE FROIDE;461020EER;SLOW COOKER SEAR/STEW ALU/SCHAR 6.5L;0;0;0;0;0;0;0
CHAMBRE FROIDE;470006EE;NEW INTELLISTEAM BPA FREE;0;0;0;0;0;0;0
CHAMBRE FROIDE;501020EE;TOTAL CONTROL SUPPENBEREITER;0;0;0;0;0;0;0
CHAMBRE FROIDE;50C725N;"TV 50"" 4k QLED TCL 50C725N";0;0;0;0;0;0;0
CHAMBRE FROIDE;555032010701;Plancha initial 50cm inox ENO 555032010701;0;0;0;0;0;0;0
CHAMBRE FROIDE;55EC780;"TV 55"" 4K UHD TCL 55EC780";0;0;0;0;0;0;0
CHAMBRE FROIDE;55UG6400;"Téléviseur 4K 55"" 139 cm THOMSON 55UG6400";0;0;0;0;0;0;0
CHAMBRE FROIDE;57023258070C;Plancha gaz 65 bleue navy ENOSIGN 57023258070C;0;0;0;0;0;0;0
CHAMBRE FROIDE;57023285070C;Plancha ENO ENOSIGN 65 Noir & Inox;0;0;0;0;0;0;0
CHAMBRE FROIDE;57033285070C;Plancha ENO ENOSIGN 80 Noire & Inox;0;0;0;0;0;0;0
CHAMBRE FROIDE;575132014201;Plancha électrique 1 Zone ENOSIGN 575132014201;0;0;0;0;0;0;0
CHAMBRE FROIDE;58UA6B63DG;"TV led 58"" TOSHIBA 58UA6B63DG";0;0;0;0;0;0;0
CHAMBRE FROIDE;65C711;"TV 64"" 4K QLED TCL 65C711";0;0;0;0;0;0;0
CHAMBRE FROIDE;69476IU-MN;Cuisinière vitro-céramique  Inox  AEG  69476IU-MN;0;0;0;0;0;0;0
CHAMBRE FROIDE;75C727;"TV 74"" 4k QLED TCL 75C727";0;0;0;0;0;0;0
CHAMBRE FROIDE;850004000371;Cocotte ronde D25cm Blanche interieur Sable GODIN 850004000371;0;0;0;0;0;0;0
CHAMBRE FROIDE;850006000367;Cocotte ronde 33cm gris flamme interieur sable  GODIN  850006000367;0;0;0;0;0;0;0
CHAMBRE FROIDE;A1PYID-9;Piano de cuisson 90cm Inox SMEG A1PYID-9;0;0;0;0;0;0;0
CHAMBRE FROIDE;A2PYID-81;Piano de cuisson 100cm inox SMEG A2PYID-81;0;0;0;0;0;0;0
CHAMBRE FROIDE;A3FE632CSJ-B;Réfrigérateur Haier A3FE632CSJ;0;0;0;0;0;0;0
CHAMBRE FROIDE;A6/500BLK;Casque sans fil KYGO A6/500BLK;0;0;0;0;0;0;0
CHAMBRE FROIDE;A6/500BUR;Casque sans fil KYGO A6/500BUR;0;0;0;0;0;0;0
CHAMBRE FROIDE;A6GG10FX;Cisinière gaz HOTPOINT A6GG10FX;0;0;0;0;0;0;0
CHAMBRE FROIDE;A6GGC1E;Cuisinière 60x60 inox ARISTON A6GGC1E;0;0;0;0;0;0;0
CHAMBRE FROIDE;AB200;Arrière Bar 2 portes 190L;0;0;0;0;0;0;0
CHAMBRE FROIDE;AB300;Arrière Bar 2 portes 300L;0;0;0;0;0;0;0
CHAMBRE FROIDE;ABB682F1AF;Congélateur encastrable AEG ABB682F1AF;0;0;0;0;0;0;0
CHAMBRE FROIDE;ABB688E1LS;Congélateur intégrable AEG ABB688E1LS;0;0;0;0;0;0;0
CHAMBRE FROIDE;ABE818F6NS;Congélateur Intégrable AEG 178cm;0;0;0;0;0;0;0
CHAMBRE FROIDE;ACM807BFAN-NEW;Table induction WHIRLPOOL ACM807BFAN-NEW;0;0;0;0;0;0;0
CHAMBRE FROIDE;AD1070X;Hotte décorative murale encastrable BRANDT AD1070X;0;0;0;0;0;0;0
CHAMBRE FROIDE;ADN203C;Réfrigérateur WHIRLPOOL ADN203C;0;0;0;0;0;0;0
CHAMBRE FROIDE;AFB18401;Congélateur armoire encastrable WHIRLPOOL AFB18401;0;0;0;0;0;0;0
